OBJECTID,AspenRank,ACRES,Comment,Shape_STAr,Shape_STLe
"4834",S1,2.4005236,Vegetation,104566.39257800000,2664.04866393000
"4835",S1,0.0399980,Vegetation,1743.24121094000,209.02344910100
"4836",S1,1.0891973,Vegetation,47445.24414060000,1688.18171615000
"4837",S1,0.1820332,Vegetation,7929.33007813000,344.36170640100
"4838",S1,0.4952044,Vegetation,21571.01757810000,1221.53461968000
"4839",S1,0.0321893,Vegetation,1402.16015625000,209.05237037200
"4840",S1,5.4648967,Vegetation,238051.16992200000,4543.42794997000
"4841",S1,0.0773021,Vegetation,3369.05957031000,246.47526483000
"4842",S1,0.0030384,Vegetation,132.35156250000,200.31396959000
"4843",S1,1.9951152,Vegetation,86906.87207030000,1851.74036145000
"4844",S1,0.4285118,Vegetation,18665.90039060000,638.92363642800
"4845",S1,0.2459336,Vegetation,10712.82714840000,416.34367474700
"4846",S1,0.5234441,Vegetation,22801.13183590000,759.73817094600
"4847",S1,3.0899911,Vegetation,134599.47265600000,2575.97604521000
"4848",S1,1.2900086,Vegetation,56192.55468750000,1697.20975540000
"4849",S1,1.3832778,Vegetation,60255.34375000000,1268.41552438000
"4850",S1,0.0013465,Vegetation,58.65527343750,55.97762858470
"4851",S1,0.1719498,Vegetation,7492.00195313000,700.35436541600
"4852",S1,0.0156521,Vegetation,681.80566406300,141.39303105300
"4853",S1,0.8377015,Vegetation,36490.13476560000,1196.86742699000
"4854",S1,0.0000053,Vegetation,0.22949218750,5.21584929439
"4855",S1,0.5341875,Vegetation,23270.95214840000,1256.86604014000
"4856",S1,3.8294662,Vegetation,166813.12109400000,4070.93960167000
"4857",S1,0.8418516,Vegetation,36670.90917970000,939.09223093200
"4858",S1,0.4667543,Vegetation,20331.73730470000,703.53168202800
"4859",S1,0.6158160,Vegetation,26824.83886720000,873.76025357600
"4860",S1,0.6524840,Vegetation,28422.08691410000,680.45995847800
"4861",S1,0.0984434,Vegetation,4288.17968750000,415.13637665300
"4862",S1,0.2383976,Vegetation,10384.55761720000,529.63110331200
"4863",S1,0.2689215,Vegetation,11714.17480470000,592.86367580600
"4864",S1,1.6654220,Vegetation,72545.49414060000,1386.12976730000
"4865",S1,0.0001378,Vegetation,6.00390625000,228.42626390100
"4866",S1,0.0075154,Vegetation,327.36914062500,143.00499508800
"4867",S1,0.0000369,Vegetation,1.60644531250,10.54059281110
"4868",S1,2.4493194,Vegetation,106691.92675800000,2114.70741271000
"4869",S1,0.2610875,Vegetation,11372.92773440000,620.03461481800
"4870",S1,0.0402458,Vegetation,1753.09960938000,172.38711811000
"4871",S1,0.0563497,Vegetation,2454.58203125000,204.04212783400
"4872",S1,0.0070882,Vegetation,308.75976562500,258.20350805900
"4873",S1,0.0122916,Vegetation,535.41894531300,224.43906530900
"4874",S1,0.7170156,Vegetation,31233.07128910000,880.88405930200
"4875",S1,0.9802964,Vegetation,42703.17285160000,967.77394006400
"4876",S1,3.0892280,Vegetation,134566.22753900001,2052.66819900000
"4877",S1,0.5518855,Vegetation,24040.03710940000,883.30279363000
"4878",S1,2.1154792,Vegetation,92156.05175780000,2362.20878094000
"4879",S1,18.5825168,Vegetation,809451.20312500000,9907.72991573000
"4880",S1,0.3182964,Vegetation,13864.93945310000,883.09990695000
"4881",S1,1.2967912,Vegetation,56488.00097660000,1180.55964108000
"4882",S1,1.5901964,Vegetation,69268.67480470000,1482.69600561000
